Filename,Extracted Values
X8XUG1JD,"{""Current Assets"": ""1"", ""Creditors: amounts falling due within one year"": ""-59"", ""Net current assets (liabilities)"": ""1"", ""Total assets less current liabilities"": ""1"", ""Total net assets (liabilities)"": ""1"", ""Capital and reserves"": ""1""}"
X8XX0C57,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""1"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XX02AX,"{""Net assets"": ""0"", ""Issued share capital"": ""nan"", ""Ordinary Share 0 of &#194;&#163; each"": ""0"", ""Total Shareholder funds"": ""0""}"
X8XX0ANN,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""1"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XX0BU1,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XX0CEA,"{""Current Assets"": ""384"", ""Creditors: amounts falling due within one year"": ""-225"", ""Net current assets (liabilities)"": ""159"", ""Total assets less current liabilities"": ""159"", ""Total net assets (liabilities)"": ""159"", ""Capital and reserves"": ""159""}"
X8XX00J6,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets"": ""516"", ""Current Assets"": ""nan"", ""Prepayments and accrued income"": ""nan"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""516"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""516"", ""Capital and reserves"": ""516""}"
X8XX00LL,"{""Current Assets"": ""675"", ""Creditors: amounts falling due within one year"": ""-119662"", ""Net current assets (liabilities)"": ""-118987"", ""Total assets less current liabilities"": ""-118987"", ""Total net assets (liabilities)"": ""-118987"", ""Capital and reserves"": ""-118987""}"
X8XX00MX,"{""Cash at bank and in hand"": ""nan"", ""Net assets"": ""nan"", ""Issued share capital"": ""nan"", ""Ordinary Share 1 of &#194;&#163; each"": ""nan"", ""Total Shareholder funds"": ""nan""}"
X8XX000W,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1000"", ""Net assets"": ""1000"", ""Issued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""1000"", ""Total Shareholder funds"": ""1000""}"
X8XX00YW,"{""Called up share capital not paid"": ""1000"", ""Current Assets"": ""4240"", ""Creditors: amounts falling due within one year"": ""-3082"", ""Net current assets (liabilities)"": ""1158"", ""Total assets less current liabilities"": ""2158"", ""Total net assets (liabilities)"": ""2158"", ""Capital and reserves"": ""2158""}"
X8XX01EH,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets"": ""1"", ""Current Assets"": ""254"", ""Prepayments and accrued income"": ""nan"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""254"", ""Total assets less current liabilities"": ""255"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""255"", ""Capital and reserves"": ""255""}"
X8XX01EP,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""2"", ""Net assets"": ""2"", ""Issued share capital"": ""2"", ""Ordinay Shares of &#194;&#163;  each"": ""2"", ""Total Shareholder funds"": ""2""}"
X8XX01IX,"{""Called up share capital not paid"": ""1"", ""Fixed Assets"": ""1"", ""Current Assets"": ""55690"", ""Creditors: amounts falling due within one year"": ""-101141"", ""Net current assets (liabilities)"": ""-45451"", ""Total assets less current liabilities"": ""-45449"", ""Total net assets (liabilities)"": ""-45449"", ""Capital and reserves"": ""-45449""}"
X8XX01SZ,"{""Called up share capital not paid "": ""2"", ""Net assets "": ""2"", ""Tssued share capital "": ""2"", ""Ordinary Shares 1 of &#194;&#163; each "": ""2"", ""Total Shareholder funds "": ""2""}"
X8XX01TN,"{""Called up share capital not paid"": ""2"", ""Net assets"": ""2"", ""Tssued share capital"": ""2"", ""Ordinary Shares 1 of &#194;&#163; each"": ""2"", ""Total Shareholder funds"": ""2""}"
X8XX01TV,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XX02N7,"{""Current Assets"": ""5751"", ""Net current assets (liabilities)"": ""5751"", ""Total assets less current liabilities"": ""5751"", ""Creditors: amounts falling due after more than one "": ""nan"", ""year"": ""-2531"", ""Total net assets (liabilities)"": ""3220"", ""Capital and reserves"": ""3220""}"
X8XX02SY,"{""Current Assets"": ""8312"", ""Creditors: amounts falling due within one year"": ""-5606"", ""Net current assets (liabilities)"": ""2706"", ""Total assets less current liabilities"": ""2706"", ""Total net assets (liabilities)"": ""2706"", ""Capital and reserves"": ""2706""}"
X8XX03IJ,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""Ordinary Shares of &#194;&#163;  each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XX03S9,"{""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""100"", ""A Shares 1 of &#194;&#163; each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XX07H7,{}
X8XX036G,"{""Fixed Assets"": ""nan"", ""Current Assets"": ""nan"", ""Creditors: amounts falling due within one year"": ""-2466"", ""Net current assets (liabilities)"": ""8367"", ""Total assets less current liabilities"": ""8569"", ""Creditors: amounts falling due after more than one year"": ""-5083"", ""Total net assets (liabilities)"": ""3486"", ""Capital and reserves"": ""3486""}"
X8XX0137,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XX0196,"{""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""1"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZI9MH,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets 100000"": ""nan"", ""Current Assets"": ""500000"", ""Prepayments and accrued income 150000"": ""nan"", ""Net current assets (liabilities)"": ""500000"", ""Total assets less current liabilities"": ""500000"", ""Total net assets (liabilities)"": ""500000"", ""Capital and reserves"": ""500000""}"
X8XZI9Y0,{}
X8XZI954,"{""Called up share capital not paid"": ""000"", ""Current assets"": ""nan"", ""Cash at bank and in hand"": ""10000"", ""Net assets"": ""10000"", ""Issued share capital"": ""nan"", ""Ordinary Shares of &#194;&#163;100 each"": ""10000"", ""Total Shareholder funds"": ""10000""}"
X8XZIB3U,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets"": ""780"", ""Current Assets"": ""2942"", ""Creditors: amounts falling due within one year"": ""-5690"", ""Net current assets (liabilities)"": ""-2748"", ""Total assets less current liabilities"": ""-1968"", ""Total net assets (liabilities)"": ""-1968"", ""Capital and reserves"": ""-1968""}"
X8XZIBDK,"{""Called up share capital not paid"": ""5"", ""Fixed Assets"": ""nan"", ""Current Assets"": ""nan"", ""Prepayments and accrued income"": ""nan"", ""Creditors: amounts falling due within one year"": ""0"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""5"", ""Creditors: amounts falling due after more than one year"": ""0"", ""Provisions for liabilities"": ""0"", ""Accruals and deferred income"": ""0"", ""Total net assets (liabilities)"": ""5"", ""Capital and reserves"": ""5""}"
X8XZIBXE,"{""Net assets"": ""0"", ""Reserves"": ""0""}"
X8XZIBZD,"{""Called up share capital not paid"": ""1"", ""Current Assets"": ""1015"", ""Net current assets (liabilities)"": ""1015"", ""Total assets less current liabilities"": ""1016"", ""Total net assets (liabilities)"": ""1016"", ""Capital and reserves"": ""1016""}"
X8XZICIB,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""nan"", ""Ordinary Shares of &#194;&#163;  each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZICNE,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""100"", ""Net assets"": ""100"", ""Issued share capital"": ""100"", ""Ordinary Shares 1 of &#194;&#163; each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZICQX,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIDG2,"{""Called up share capital not paid"": ""nan"", ""Fixed Assets"": ""nan"", ""Current Assets"": ""nan"", ""Net current assets (liabilities)"": ""0"", ""Total assets less current liabilities"": ""0"", ""Total net assets (liabilities)"": ""0"", ""Capital and reserves"": ""0""}"
X8XZIDMH,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""1"", ""Net assets"": ""1"", ""Issued share capital"": ""nan"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
X8XZIE17,"{""Called up share capital not paid"": ""100"", ""Net assets"": ""100"", ""Tssued share capital"": ""nan"", ""Ordinary Share of &#194;&#163; 100 each"": ""100"", ""Total Shareholder funds"": ""100""}"
X8XZIEI1,{}
X8XZIF16,"{""Current Assets"": ""5369"", ""Creditors: amounts falling due within one year"": ""-1285"", ""Net current assets (liabilities)"": ""4084"", ""Total assets less current liabilities"": ""4084"", ""Total net assets (liabilities)"": ""4084"", ""Capital and reserves"": ""4084""}"
X8XZIFE8,"{""Current assets"": ""nan"", ""Cash at bank and in hand"": ""5"", ""Net assets"": ""5"", ""Issued share capital"": ""nan"", ""Ordinary Shares 1 of &#194;&#163; each"": ""5"", ""Total Shareholder funds"": ""5""}"
X8XZIFNV,"{""Fixed Assets"": ""2845"", ""Current Assets"": ""176642"", ""Creditors: amounts falling due within one year"": ""-64698"", ""Net current assets (liabilities)"": ""111944"", ""Total assets less current liabilities"": ""114789"", ""Provisions for liabilities"": ""-541"", ""Total net assets (liabilities)"": ""114248"", ""Capital and reserves"": ""114248""}"
X8XZIFZL,"{""Called up share capital not paid"": ""1"", ""Net assets"": ""1"", ""Tssued share capital"": ""nan"", ""Ordinary Share 1 of &#194;&#163; each"": ""1"", ""Total Shareholder funds"": ""1""}"
